model GGM
parameter na
parameter na
parameter na
parameter kFactorProcessWeighted true
scan mcmg 300 600 LOXSEC 6.1600
scan mcmg 300.0 600.0 cu3mu 0.4332 0.0514
scan mcmg 300.0 600.0 cu2mu1e 0.4617 0.0459
scan mcmg 300.0 600.0 cu2e1mu 0.2649 0.0281
scan mcmg 300.0 600.0 cu3e 0.2448 0.0305
scan mcmg 300.0 600.0 cu2mutau 0.1518 0.0493
scan mcmg 300.0 600.0 cu2etau 0.0866 0.0287
scan mcmg 300.0 600.0 cuemutau 0.037 0.0128
scan mcmg 300.0 600.0 cuss2mu1e 0.0465 0.0075
scan mcmg 300.0 600.0 cuss2e1mu 0.045 0.0074
scan mcmg 300.0 600.0 cuss2mutau 0.0194 0.0073
scan mcmg 300.0 600.0 cuss2etau 0.029 0.0104
scan mcmg 300.0 600.0 cussemutau 0.0356 0.0123
scan mcmg 300.0 600.0 cu4mu0e0tau 0.4699 0.0687
scan mcmg 300.0 600.0 cu3mu1e0tau 0.2648 0.0303
scan mcmg 300.0 600.0 cu2mu2e0tau 0.4935 0.0534
scan mcmg 300.0 600.0 cu1mu3e0tau 0.1189 0.0165
scan mcmg 300.0 600.0 cu0mu4e0tau 0.1543 0.0258
scan mcmg 300.0 600.0 cu3mu0e1tau 0.0774 0.0263
scan mcmg 300.0 600.0 cu2mu1e1tau 0.0888 0.0294
scan mcmg 300.0 600.0 cu1mu2e1tau 0.0606 0.0206
scan mcmg 300.0 600.0 cu0mu3e1tau 0.0558 0.0196
scan mcmg 300.0 600.0 cu2mu0e2tau 0.028 0.0177
scan mcmg 300.0 600.0 cu1mu1e2tau 0.0157 0.0101
scan mcmg 300.0 600.0 cu0mu2e2tau 0.0132 0.0087
scan mcmg 300 650 LOXSEC 3.8970
scan mcmg 300.0 650.0 cu3mu 0.2479 0.0296
scan mcmg 300.0 650.0 cu2mu1e 0.2821 0.0282
scan mcmg 300.0 650.0 cu2e1mu 0.1709 0.0181
scan mcmg 300.0 650.0 cu3e 0.166 0.0205
