model mSUGRA
parameter tanbeta 3
parameter a0 -400
parameter mu 1
parameter kFactorProcessWeighted true
scan m0m12 10 160 LOXSEC 53.8700
scan m0m12 10.0 160.0 cu3mu 0.183 0.0269
scan m0m12 10.0 160.0 cu2mu1e 0.1168 0.0222
scan m0m12 10.0 160.0 cu2e1mu 0.0712 0.0179
scan m0m12 10.0 160.0 cu3e 0.0341 0.012
scan m0m12 10.0 160.0 cu2mutau 0.09 0.0187
scan m0m12 10.0 160.0 cu2etau 0.0659 0.0162
scan m0m12 10.0 160.0 cuemutau 0.0186 0.0093
scan m0m12 10.0 160.0 cuss2mu1e 0.0 0.0
scan m0m12 10.0 160.0 cuss2e1mu 0.0045 0.0054
scan m0m12 10.0 160.0 cuss2mutau 0.0124 0.0076
scan m0m12 10.0 160.0 cuss2etau 0.0 0.0
scan m0m12 10.0 160.0 cussemutau 0.0 0.0
scan m0m12 10.0 160.0 cu4mu0e0tau 0.0231 0.0093
scan m0m12 10.0 160.0 cu3mu1e0tau 0.0 0.0
scan m0m12 10.0 160.0 cu2mu2e0tau 0.0344 0.012
scan m0m12 10.0 160.0 cu1mu3e0tau 0.0 0.0
scan m0m12 10.0 160.0 cu0mu4e0tau 0.0056 0.0054
scan m0m12 10.0 160.0 cu3mu0e1tau 0.0098 0.0054
scan m0m12 10.0 160.0 cu2mu1e1tau 0.0069 0.0054
scan m0m12 10.0 160.0 cu1mu2e1tau 0.01 0.0054
scan m0m12 10.0 160.0 cu0mu3e1tau 0.0064 0.0054
scan m0m12 10.0 160.0 cu2mu0e2tau 0.0068 0.0054
scan m0m12 10.0 160.0 cu1mu1e2tau 0.0 0.0
scan m0m12 10.0 160.0 cu0mu2e2tau 0.0 0.0
scan m0m12 10 170 LOXSEC 39.4700
scan m0m12 10.0 170.0 cu3mu 0.0589 0.0137
scan m0m12 10.0 170.0 cu2mu1e 0.0765 0.0148
scan m0m12 10.0 170.0 cu2e1mu 0.0337 0.0104
scan m0m12 10.0 170.0 cu3e 0.0405 0.0118
scan m0m12 10.0 170.0 cu2mutau 0.0742 0.0148
scan m0m12 10.0 170.0 cu2etau 0.0403 0.0112
scan m0m12 10.0 170.0 cuemutau 0.0 0.0
scan m0m12 10.0 170.0 cuss2mu1e 0.0 0.0
scan m0m12 10.0 170.0 cuss2e1mu 0.0 0.0
scan m0m12 10.0 170.0 cuss2mutau 0.0 0.0
scan m0m12 10.0 170.0 cuss2etau 0.0 0.0
scan m0m12 10.0 170.0 cussemutau 0.0 0.0
scan m0m12 10.0 170.0 cu4mu0e0tau 0.0097 0.0056
scan m0m12 10.0 170.0 cu3mu1e0tau 0.0 0.0
scan m0m12 10.0 170.0 cu2mu2e0tau 0.0089 0.0056
scan m0m12 10.0 170.0 cu1mu3e0tau 0.0 0.0
scan m0m12 10.0 170.0 cu0mu4e0tau 0.0191 0.0079
scan m0m12 10.0 170.0 cu3mu0e1tau 0.0 0.0
scan m0m12 10.0 170.0 cu2mu1e1tau 0.0 0.0
scan m0m12 10.0 170.0 cu1mu2e1tau 0.0 0.0
scan m0m12 10.0 170.0 cu0mu3e1tau 0.0031 0.0039
scan m0m12 10.0 170.0 cu2mu0e2tau 0.0049 0.0039
scan m0m12 10.0 170.0 cu1mu1e2tau 0.0 0.0
scan m0m12 10.0 170.0 cu0mu2e2tau 0.0048 0.0039
scan m0m12 10 180 LOXSEC 28.9600
scan m0m12 10.0 180.0 cu3mu 0.0505 0.0108
scan m0m12 10.0 180.0 cu2mu1e 0.033 0.0087
scan m0m12 10.0 180.0 cu2e1mu 0.0362 0.0092
